method,specification_type,reference_week,signal_date,execution_date,regime_reference_month,ticker,target_weight,is_live_only,posterior_map_regime,optimization_outcome,anchor_core_method,posterior_sleeve_method,pooled_core_fraction,posterior_sleeve_fraction,pooled_core_target_weight,posterior_sleeve_target_weight,posterior_active_deviation
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,SPY,0.35000000000000203,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,IEF,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,TIP,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,HYG,0.14999999999999894,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,BIL,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,GLD,0.14999999999999863,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,LQD,0.3500000000000005,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-01,2018-01-01,2018-01-02,2018-01-01,AGG,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,SPY,0.34999999999999976,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,IEF,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,TIP,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,HYG,0.1500000000000005,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,BIL,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,GLD,0.15401124950260753,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,LQD,0.34598875049739214,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-08,2018-01-08,2018-01-08,2018-01-01,AGG,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,SPY,0.3500000000000003,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,IEF,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,TIP,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,HYG,0.14833183883491724,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,BIL,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,GLD,0.15858214709863597,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,LQD,0.34308601406644657,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-15,2018-01-15,2018-01-16,2018-01-01,AGG,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,SPY,0.3499999999999992,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,IEF,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,TIP,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,HYG,0.14999999999999983,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,BIL,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,GLD,0.15884249850734705,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,LQD,0.34115750149265395,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-22,2018-01-22,2018-01-22,2018-01-01,AGG,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,SPY,0.35000000000000114,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,IEF,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,TIP,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,HYG,0.14999999999999988,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,BIL,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,GLD,0.15879229753125124,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,LQD,0.3412077024687479,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-01-29,2018-01-29,2018-01-29,2018-01-01,AGG,0.0,False,growth_up_inflation_up,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,SPY,0.34395191604261094,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,IEF,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,TIP,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,HYG,0.15118819047761392,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,BIL,0.0,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,GLD,0.1604745453238377,False,growth_up_inflation_down,optimal,,,,,,,
posterior_optimized,baseline,2018-02-05,2018-02-05,2018-02-05,2018-02-01,LQD,0.34438534815593747,False,growth_up_inflation_down,optimal,,,,,,,
