method,specification_type,reference_week,signal_date,execution_date,regime_reference_month,ticker,target_weight,pooled_benchmark_weight,active_weight,is_live_only,oracle_regime_id,future_regime_information_used,optimization_outcome
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,SPY,0.3037279771806513,0.3500000000000002,-0.04627202281934889,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,IEF,0.0,0.0,0.0,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,TIP,0.04166775617876418,0.0,0.04166775617876418,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,HYG,0.16259495417697248,0.1500000000000002,0.01259495417697229,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,BIL,0.016091175483677025,0.0,0.016091175483677025,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,GLD,0.17591813697993453,0.1499999999999991,0.02591813697993542,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,LQD,0.3000000000000005,0.3500000000000005,-0.04999999999999999,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-01,2018-01-01,2018-01-02,2018-01-01,AGG,0.0,0.0,0.0,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,SPY,0.30386283702773337,0.3499999999999998,-0.04613716297226644,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,IEF,6.5333789698204795e-18,0.0,6.5333789698204795e-18,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,TIP,0.04133823545508482,0.0,0.04133823545508482,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,HYG,0.16263260365123666,0.1500000000000001,0.012632603651236557,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,BIL,0.01597755434460499,0.0,0.01597755434460499,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,GLD,0.17618876952133955,0.1499999999999995,0.026188769521340055,False,growth_down_inflation_up,True,optimal
oracle_regime_pooled_relative_active_te100bp,oracle_infeasible_diagnostic,2018-01-08,2018-01-08,2018-01-08,2018-01-01,LQD,0.30000000000000066,0.3500000000000006,-0.04999999999999993,False,growth_down_inflation_up,True,optimal
