method,specification_type,reference_week,signal_date,execution_date,regime_reference_month,ticker,target_weight,pooled_benchmark_weight,active_weight,is_live_only,oracle_regime_id,future_regime_information_used,optimization_outcome
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,SPY,0.3000000000000002,0.3500000000000002,-0.04999999999999999,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,IEF,0.015312549454426368,0.0,0.015312549454426368,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,TIP,0.04999999999999993,0.0,0.04999999999999993,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,HYG,0.16379995030205338,0.1500000000000002,0.013799950302053193,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,BIL,0.008515140313763842,0.0,0.008515140313763842,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,GLD,0.1623723599297557,0.1499999999999991,0.012372359929756604,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,LQD,0.3000000000000006,0.3500000000000005,-0.04999999999999988,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-01,2018-01-01,2018-01-02,2018-01-01,AGG,0.0,0.0,0.0,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,SPY,0.30083023653096286,0.3499999999999998,-0.04916976346903695,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,IEF,0.015160506495822571,0.0,0.015160506495822571,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,TIP,0.04961395232620272,0.0,0.04961395232620272,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,HYG,0.16386881637481274,0.1500000000000001,0.013868816374812631,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,BIL,0.008456610758119027,0.0,0.008456610758119027,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,GLD,0.16206987751407959,0.1499999999999995,0.01206987751408009,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,LQD,0.3000000000000006,0.3500000000000006,-0.04999999999999999,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-08,2018-01-08,2018-01-08,2018-01-01,AGG,0.0,0.0,0.0,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-15,2018-01-15,2018-01-16,2018-01-01,SPY,0.3030112922949619,0.35,-0.0469887077050381,False,,False,optimal
pooled_relative_posterior_active_te100bp,benchmark_relative_active,2018-01-15,2018-01-15,2018-01-16,2018-01-01,IEF,0.014982565612160203,0.0,0.014982565612160203,False,,False,optimal
