ticker,realized_annualized_arithmetic_return,realized_annualized_volatility,realized_total_return,posterior_optimized_average_expected_annual_return,posterior_optimized_realized_minus_expected_annual_return,pooled_mean_optimizer_average_expected_annual_return,pooled_mean_optimizer_realized_minus_expected_annual_return
SPY,0.15282493167404548,0.1826211124776793,2.2001228289753967,0.10128558344910647,0.05153934822493901,0.10973555880218852,0.04308937287185696
IEF,0.01185536407391935,0.06488326059821448,0.08711802208162855,0.036590850306079954,-0.024735486232160604,0.03814297389642519,-0.026287609822505838
TIP,0.027513010240770176,0.054805049590490644,0.2491286970652773,0.03420864533469857,-0.006695635093928395,0.03367322938296786,-0.006160219142197682
LQD,0.02543734483128247,0.09084972926483076,0.19993475958533513,0.04694983248388826,-0.02151248765260579,0.04976337934779683,-0.02432603451651436
HYG,0.04627060002673693,0.09042561072410725,0.4348788606906968,0.05401263949162057,-0.007742039464883645,0.056378146811722006,-0.010107546784985079
BIL,0.024838190094791622,0.0028214436531770162,0.23673258160921384,0.006892616846123923,0.017945573248667697,0.006231626675192626,0.018606563419598994
GLD,0.14127842005066152,0.16134135088741644,1.990293421594048,0.07836968364386711,0.06290873640679441,0.06643499033395898,0.07484342971670253
DBC,0.09685755165410705,0.18620407523878174,0.9749110956907938,-0.0070647241718122256,0.10392227582591927,-0.014886031693042694,0.11174358334714973
UUP,0.04310088419181721,0.06719455829484916,0.4182925540953588,0.015474493358006679,0.027626390833810528,0.01626190169442898,0.02683898249738823
TLT,-0.008223878829204593,0.14810015544214516,-0.1506781231264579,0.04745017539317161,-0.0556740542223762,0.056666404284530424,-0.06489028311373501
USO,0.11305263599245238,0.4315888896608134,0.1587614149479879,-0.09045749871263166,0.20351013470508406,-0.08562704103430167,0.19867967702675404
AGG,0.017628303561202933,0.055708534341612395,0.147447169896477,0.03150768640625311,-0.013879382845050175,0.03301815407292354,-0.01538985051172061
